2021-12-28 16:12:546 INFO  ManageDriver :32 - launching chrome browser
2021-12-28 16:12:599 INFO  HomePage :31 - sending text to search bar [[ChromeDriver: chrome on WINDOWS (0e5883e235af0bcf2ed0cfc494e58d6e)] -> css selector: #twotabsearchtextbox]
2021-12-28 16:12:134 INFO  HomePage :33 - clicking on search icon
2021-12-28 16:12:121 INFO  ManageDriver :32 - launching chrome browser
2021-12-28 16:12:119 INFO  HomePage :31 - sending text to search bar [[ChromeDriver: chrome on WINDOWS (e90a65bac0ed132bbb9199df120292c0)] -> css selector: #twotabsearchtextbox]
2021-12-28 16:12:233 INFO  HomePage :33 - clicking on search icon
2021-12-28 16:12:791 INFO  ManageDriver :32 - launching chrome browser
2021-12-28 16:12:768 INFO  HomePage :31 - sending text to search bar [[ChromeDriver: chrome on WINDOWS (4931b4f2071ffe32b2a8d4144126363a)] -> css selector: #twotabsearchtextbox]
2021-12-28 16:12:811 INFO  HomePage :33 - clicking on search icon
2021-12-28 16:12:381 INFO  ManageDriver :32 - launching chrome browser
2021-12-28 16:12:568 INFO  HomePage :31 - sending text to search bar [[ChromeDriver: chrome on WINDOWS (ea92714149c7c669ba6794c35e8c29fb)] -> css selector: #twotabsearchtextbox]
2021-12-28 16:12:397 INFO  HomePage :33 - clicking on search icon
2021-12-28 17:12:544 INFO  ManageDriver :32 - launching chrome browser
2021-12-28 17:12:307 INFO  HomePage :31 - sending text to search bar [[ChromeDriver: chrome on WINDOWS (700d6387e7a601445a45d4cbe37cbbf2)] -> css selector: #twotabsearchtextbox]
2021-12-28 17:12:393 INFO  HomePage :33 - clicking on search icon
2021-12-28 17:12:309 INFO  ManageDriver :32 - launching chrome browser
2021-12-28 17:12:984 INFO  HomePage :31 - sending text to search bar [[ChromeDriver: chrome on WINDOWS (0ebaa9cee83806b19fd08b06d4127ec5)] -> css selector: #twotabsearchtextbox]
2021-12-28 17:12:462 INFO  HomePage :33 - clicking on search icon
